time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),relative_humidity_2m (%),visibility (m),rain (mm),pressure_msl (hPa)
2025-11-21T00:00,14.0,13.5,0.00,75,24140.00,0.00,1013.9
2025-11-21T01:00,12.7,12.3,0.00,82,24140.00,0.00,1014.4
2025-11-21T02:00,11.6,11.0,0.00,88,24140.00,0.00,1014.9
2025-11-21T03:00,10.5,9.9,0.00,94,24140.00,0.00,1015.1
2025-11-21T04:00,10.3,9.7,0.00,94,24140.00,0.00,1014.8
2025-11-21T05:00,10.5,9.9,0.00,93,24140.00,0.00,1014.3
2025-11-21T06:00,10.5,9.9,0.00,93,24140.00,0.00,1014.1
2025-11-21T07:00,10.4,9.7,0.00,93,24140.00,0.00,1013.9
2025-11-21T08:00,10.2,9.5,0.00,93,24140.00,0.00,1013.9
2025-11-21T09:00,10.3,9.7,0.00,92,24140.00,0.00,1013.9
2025-11-21T10:00,10.6,9.9,0.00,90,24140.00,0.00,1014.5
2025-11-21T11:00,12.5,11.9,0.00,79,24140.00,0.00,1014.8
2025-11-21T12:00,14.7,13.4,0.00,64,24140.00,0.00,1015.2
2025-11-21T13:00,17.0,15.6,0.00,54,24140.00,0.00,1014.9
2025-11-21T14:00,19.1,18.7,0.00,53,24140.00,0.00,1014.5
2025-11-21T15:00,20.3,21.0,0.00,56,24140.00,0.00,1014.3
2025-11-21T16:00,21.3,22.2,0.00,52,24140.00,0.00,1014.0
2025-11-21T17:00,21.0,22.0,0.00,52,24140.00,0.00,1014.1
2025-11-21T18:00,21.0,21.4,0.00,49,24140.00,0.00,1014.1
2025-11-21T19:00,20.3,20.4,0.00,50,24140.00,0.00,1014.0
2025-11-21T20:00,19.5,18.8,0.00,52,24140.00,0.00,1013.7
2025-11-21T21:00,18.2,16.5,0.00,56,24140.00,0.00,1013.4
2025-11-21T22:00,15.9,14.2,0.00,65,24140.00,0.00,1013.5
2025-11-21T23:00,13.7,12.6,0.00,75,24140.00,0.00,1014.0
2025-11-22T00:00,12.6,12.0,0.00,81,24140.00,0.00,1014.4
2025-11-22T01:00,12.3,12.0,0.00,84,24140.00,0.00,1014.9
2025-11-22T02:00,12.0,11.8,0.00,86,24140.00,0.00,1015.0
2025-11-22T03:00,11.2,10.7,0.00,90,24140.00,0.00,1015.0
2025-11-22T04:00,11.4,10.6,0.00,89,24140.00,0.00,1014.4
2025-11-22T05:00,12.1,11.4,0.00,83,24140.00,0.00,1013.8
2025-11-22T06:00,12.6,11.6,0.00,79,24140.00,0.00,1013.3
2025-11-22T07:00,12.6,11.5,0.00,77,24140.00,0.00,1013.2
2025-11-22T08:00,12.3,11.1,0.00,77,24140.00,0.00,1013.4
2025-11-22T09:00,12.1,11.1,0.00,79,24140.00,0.00,1013.9
2025-11-22T10:00,11.6,10.8,0.00,82,24140.00,0.00,1015.0
2025-11-22T11:00,12.9,12.4,0.00,78,24140.00,0.00,1015.7
2025-11-22T12:00,13.6,12.8,0.00,78,24140.00,0.00,1016.3
2025-11-22T13:00,15.5,14.5,0.00,72,24140.00,0.00,1016.5
2025-11-22T14:00,17.1,16.8,0.00,66,24140.00,0.00,1016.6
2025-11-22T15:00,18.4,18.8,0.00,63,24140.00,0.00,1016.8
2025-11-22T16:00,19.1,19.9,0.00,61,24140.00,0.00,1016.6
2025-11-22T17:00,19.7,20.6,0.00,58,24140.00,0.00,1016.2
2025-11-22T18:00,19.9,20.4,0.00,55,24140.00,0.00,1015.7
2025-11-22T19:00,19.8,19.8,0.00,54,24140.00,0.00,1015.3
2025-11-22T20:00,19.1,18.5,0.00,56,24140.00,0.00,1014.9
2025-11-22T21:00,17.9,16.3,0.00,59,24140.00,0.00,1014.7
2025-11-22T22:00,16.2,14.8,0.00,66,24140.00,0.00,1014.3
2025-11-22T23:00,14.3,13.3,0.00,75,24140.00,0.00,1014.6
2025-11-23T00:00,13.3,12.7,0.00,80,24140.00,0.00,1014.8
2025-11-23T01:00,13.0,12.5,0.00,83,24140.00,0.00,1015.1
2025-11-23T02:00,12.3,12.0,0.00,87,24140.00,0.00,1015.3
2025-11-23T03:00,12.0,11.8,0.00,90,24140.00,0.00,1015.0
2025-11-23T04:00,12.0,12.0,0.00,90,24140.00,0.00,1014.4
2025-11-23T05:00,12.2,12.0,0.00,88,24140.00,0.00,1013.9
2025-11-23T06:00,12.6,12.3,0.00,86,24140.00,0.00,1013.1
2025-11-23T07:00,13.3,13.0,0.00,84,24140.00,0.00,1012.7
2025-11-23T08:00,13.0,13.1,0.00,86,24140.00,0.00,1012.9
2025-11-23T09:00,12.2,12.3,0.00,91,24140.00,0.00,1013.5
2025-11-23T10:00,12.1,12.2,0.00,92,24140.00,0.00,1014.2
2025-11-23T11:00,12.8,12.9,0.00,88,24140.00,0.00,1014.7
2025-11-23T12:00,13.4,13.1,0.00,86,24140.00,0.00,1015.2
2025-11-23T13:00,15.4,14.7,0.00,76,24140.00,0.00,1015.5
2025-11-23T14:00,17.1,16.6,0.00,67,24140.00,0.00,1015.3
2025-11-23T15:00,18.3,18.4,0.00,63,24140.00,0.00,1015.5
2025-11-23T16:00,19.5,20.0,0.00,59,24140.00,0.00,1015.4
2025-11-23T17:00,20.1,20.8,0.00,57,24140.00,0.00,1015.0
2025-11-23T18:00,20.4,21.2,0.00,55,24140.00,0.00,1014.5
2025-11-23T19:00,20.1,20.2,0.00,53,24140.00,0.00,1014.0
2025-11-23T20:00,19.3,18.7,0.00,56,24140.00,0.00,1013.6
2025-11-23T21:00,18.0,16.6,0.00,60,24140.00,0.00,1013.4
2025-11-23T22:00,16.3,15.0,0.00,68,24140.00,0.00,1013.2
2025-11-23T23:00,14.4,13.5,0.00,76,24140.00,0.00,1013.4
2025-11-24T00:00,13.3,12.7,0.00,82,24140.00,0.00,1013.6
2025-11-24T01:00,12.6,12.3,0.00,86,24140.00,0.00,1013.7
2025-11-24T02:00,12.4,12.2,0.00,88,24140.00,0.00,1013.7
2025-11-24T03:00,12.3,12.2,0.00,89,24140.00,0.00,1013.6
2025-11-24T04:00,12.3,12.2,0.00,89,24140.00,0.00,1013.2
2025-11-24T05:00,12.5,12.2,0.00,87,24140.00,0.00,1012.7
2025-11-24T06:00,12.7,12.2,0.00,85,24140.00,0.00,1012.4
2025-11-24T07:00,12.8,12.2,0.00,83,24140.00,0.00,1012.3
2025-11-24T08:00,13.0,12.3,0.00,81,24140.00,0.00,1012.3
2025-11-24T09:00,13.2,12.5,0.00,79,24140.00,0.00,1012.5
2025-11-24T10:00,13.4,13.0,0.00,79,24140.00,0.00,1013.1
2025-11-24T11:00,13.8,13.4,0.00,80,24140.00,0.00,1014.0
2025-11-24T12:00,14.3,13.7,0.00,80,24140.00,0.00,1014.7
2025-11-24T13:00,15.2,14.3,0.00,77,24140.00,0.00,1015.2
2025-11-24T14:00,16.3,15.4,0.00,73,24140.00,0.00,1015.7
2025-11-24T15:00,17.2,16.9,0.00,69,24140.00,0.00,1015.9
2025-11-24T16:00,17.9,18.0,0.00,67,24140.00,0.00,1015.8
2025-11-24T17:00,18.4,18.7,0.00,65,24140.00,0.00,1015.5
2025-11-24T18:00,18.7,18.8,0.00,64,24140.00,0.00,1015.1
2025-11-24T19:00,18.5,18.4,0.00,64,24140.00,0.00,1014.7
2025-11-24T20:00,18.0,17.3,0.00,64,24140.00,0.00,1014.3
2025-11-24T21:00,17.2,15.8,0.00,66,24140.00,0.00,1014.1
2025-11-24T22:00,15.9,14.8,0.00,71,24140.00,0.00,1014.1
2025-11-24T23:00,14.3,13.7,0.00,79,24140.00,0.00,1014.2
2025-11-25T00:00,13.0,12.7,0.00,85,24140.00,0.00,1014.4
2025-11-25T01:00,12.3,12.1,0.00,89,24140.00,0.00,1014.6
2025-11-25T02:00,11.9,11.8,0.00,92,24140.00,0.00,1014.9
2025-11-25T03:00,11.7,11.6,0.00,94,24140.00,0.00,1014.9
2025-11-25T04:00,11.8,11.8,0.00,94,24140.00,0.00,1014.5
