time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),relative_humidity_2m (%),visibility (m),rain (mm),pressure_msl (hPa)
2025-11-21T00:00,28.2,32.2,0.00,75,24140.00,0.00,1009.3
2025-11-21T01:00,27.6,31.8,0.00,79,24140.00,0.00,1010.0
2025-11-21T02:00,27.1,31.2,0.00,80,24140.00,0.00,1010.4
2025-11-21T03:00,26.7,30.2,0.00,78,24140.00,0.00,1010.2
2025-11-21T04:00,26.2,29.5,0.00,78,24140.00,0.00,1010.3
2025-11-21T05:00,25.7,29.5,0.00,84,24140.00,0.00,1010.1
2025-11-21T06:00,25.3,29.3,0.00,87,24140.00,0.00,1009.6
2025-11-21T07:00,25.1,28.7,0.00,87,24140.00,0.00,1009.1
2025-11-21T08:00,24.9,28.6,0.00,88,24140.00,0.00,1009.1
2025-11-21T09:00,24.8,28.6,0.00,89,24140.00,0.00,1010.0
2025-11-21T10:00,24.6,28.6,0.00,91,24140.00,0.00,1010.7
2025-11-21T11:00,24.8,28.9,0.00,91,24140.00,0.00,1011.5
2025-11-21T12:00,26.0,29.3,0.00,85,24140.00,0.00,1012.3
2025-11-21T13:00,27.3,30.2,0.10,78,24140.00,0.00,1012.8
2025-11-21T14:00,28.9,31.7,0.00,70,24140.00,0.00,1012.8
2025-11-21T15:00,30.2,33.4,0.10,64,24140.00,0.00,1012.2
2025-11-21T16:00,31.2,34.6,0.00,59,24140.00,0.00,1011.2
2025-11-21T17:00,31.8,35.7,0.00,58,24140.00,0.00,1010.1
2025-11-21T18:00,32.5,36.2,0.00,55,24140.00,0.00,1008.6
2025-11-21T19:00,32.3,35.0,0.00,55,24140.00,0.00,1007.7
2025-11-21T20:00,32.1,34.6,0.00,55,24140.00,0.00,1007.3
2025-11-21T21:00,31.2,33.8,0.10,59,24140.00,0.00,1007.8
2025-11-21T22:00,28.8,32.9,1.10,74,24140.00,0.00,1008.4
2025-11-21T23:00,28.3,33.0,0.00,78,24140.00,0.00,1008.6
2025-11-22T00:00,27.9,32.6,0.00,80,24140.00,0.00,1009.4
2025-11-22T01:00,27.6,32.3,0.00,82,24140.00,0.00,1010.0
2025-11-22T02:00,27.1,31.8,0.00,84,24140.00,0.00,1010.3
2025-11-22T03:00,26.6,31.3,0.00,85,24140.00,0.00,1010.3
2025-11-22T04:00,26.4,30.7,0.00,84,24140.00,0.00,1010.2
2025-11-22T05:00,26.4,30.2,0.00,81,24140.00,0.00,1009.6
2025-11-22T06:00,26.1,29.8,0.00,81,24140.00,0.00,1009.0
2025-11-22T07:00,25.8,29.3,0.00,82,24140.00,0.00,1008.8
2025-11-22T08:00,25.6,29.1,0.00,84,24140.00,0.00,1009.1
2025-11-22T09:00,25.5,29.2,0.00,86,24140.00,0.00,1009.9
2025-11-22T10:00,25.4,29.0,0.00,87,24140.00,0.00,1010.7
2025-11-22T11:00,25.4,29.2,0.00,87,24140.00,0.00,1011.6
2025-11-22T12:00,26.4,29.6,0.00,83,24140.00,0.00,1012.5
2025-11-22T13:00,27.6,30.3,0.00,76,24140.00,0.00,1013.3
2025-11-22T14:00,29.0,31.3,0.00,69,24140.00,0.00,1013.2
2025-11-22T15:00,30.3,32.9,0.00,63,24140.00,0.00,1012.4
2025-11-22T16:00,31.6,34.5,0.00,57,24140.00,0.00,1010.9
2025-11-22T17:00,32.6,35.4,0.00,52,24140.00,0.00,1009.4
2025-11-22T18:00,33.4,36.0,0.00,49,24140.00,0.00,1008.0
2025-11-22T19:00,33.6,35.1,0.00,47,24140.00,0.00,1007.1
2025-11-22T20:00,33.2,34.5,0.00,48,24140.00,0.00,1006.8
2025-11-22T21:00,32.6,34.1,0.00,50,24140.00,0.00,1006.7
2025-11-22T22:00,31.6,33.7,0.00,53,24140.00,0.00,1007.0
2025-11-22T23:00,30.3,33.4,0.00,59,24140.00,0.00,1007.2
2025-11-23T00:00,29.0,32.4,0.00,66,24140.00,0.00,1008.0
2025-11-23T01:00,28.4,32.4,0.00,73,24140.00,0.00,1009.0
2025-11-23T02:00,27.8,31.6,0.10,76,24140.00,0.00,1010.1
2025-11-23T03:00,27.5,30.5,0.30,74,24140.00,0.00,1010.5
2025-11-23T04:00,27.0,30.4,0.20,76,24140.00,0.00,1010.5
2025-11-23T05:00,26.6,30.1,0.00,79,24140.00,0.00,1010.3
2025-11-23T06:00,26.0,30.0,0.00,82,24140.00,0.00,1009.6
2025-11-23T07:00,25.5,29.6,0.00,85,24140.00,0.00,1009.2
2025-11-23T08:00,25.2,29.3,0.00,88,24140.00,0.00,1009.2
2025-11-23T09:00,25.1,29.1,0.00,89,24140.00,0.00,1009.7
2025-11-23T10:00,25.0,28.9,0.00,89,24140.00,0.00,1010.4
2025-11-23T11:00,25.3,28.9,0.00,88,24140.00,0.00,1011.2
2025-11-23T12:00,26.5,29.3,0.00,81,24140.00,0.00,1012.1
2025-11-23T13:00,27.5,29.5,0.00,75,24140.00,0.00,1012.7
2025-11-23T14:00,28.8,30.7,0.00,68,24140.00,0.00,1012.7
2025-11-23T15:00,30.1,32.5,0.00,63,24140.00,0.00,1011.8
2025-11-23T16:00,31.5,34.2,0.00,57,24140.00,0.00,1010.3
2025-11-23T17:00,32.5,35.0,0.00,52,24140.00,0.00,1008.9
2025-11-23T18:00,32.6,34.3,0.00,50,24140.00,0.00,1007.4
2025-11-23T19:00,32.9,34.6,0.00,50,24140.00,0.00,1006.4
2025-11-23T20:00,32.7,34.4,0.00,50,24140.00,0.00,1006.0
2025-11-23T21:00,32.3,34.1,0.00,51,24140.00,0.00,1006.1
2025-11-23T22:00,31.5,33.7,0.00,52,24140.00,0.00,1006.4
2025-11-23T23:00,30.3,33.3,0.00,58,24140.00,0.00,1007.0
2025-11-24T00:00,29.4,32.6,0.00,62,24140.00,0.00,1008.1
2025-11-24T01:00,28.8,31.9,0.00,65,24140.00,0.00,1008.8
2025-11-24T02:00,28.3,31.2,0.00,68,24140.00,0.00,1009.6
2025-11-24T03:00,27.8,30.6,0.00,71,24140.00,0.00,1010.0
2025-11-24T04:00,27.2,30.2,0.10,74,24140.00,0.00,1009.9
2025-11-24T05:00,26.6,29.9,0.10,76,24140.00,0.00,1009.4
2025-11-24T06:00,26.1,29.8,0.10,79,24140.00,0.00,1009.1
2025-11-24T07:00,25.7,29.5,0.40,82,24140.00,0.00,1009.0
2025-11-24T08:00,25.3,29.3,0.40,86,24140.00,0.00,1009.0
2025-11-24T09:00,25.1,29.1,0.40,88,24140.00,0.00,1009.3
2025-11-24T10:00,25.1,29.1,0.00,89,24140.00,0.00,1010.1
2025-11-24T11:00,25.4,29.0,0.00,88,24140.00,0.00,1011.2
2025-11-24T12:00,26.0,29.5,0.00,86,24140.00,0.00,1011.9
2025-11-24T13:00,27.0,30.1,0.00,80,24140.00,0.00,1012.1
2025-11-24T14:00,28.4,31.0,0.00,73,24140.00,0.00,1012.1
2025-11-24T15:00,29.6,31.8,0.00,66,24140.00,0.00,1011.6
2025-11-24T16:00,30.7,33.0,0.10,61,24140.00,0.00,1010.5
2025-11-24T17:00,31.7,34.4,0.10,57,24140.00,0.00,1008.9
2025-11-24T18:00,32.3,34.9,0.10,54,24140.00,0.00,1007.7
2025-11-24T19:00,32.3,34.1,0.00,53,24140.00,0.00,1006.9
2025-11-24T20:00,31.9,33.8,0.00,54,24140.00,0.00,1006.5
2025-11-24T21:00,31.2,33.3,0.00,56,24140.00,0.00,1006.4
2025-11-24T22:00,30.3,33.0,0.10,61,24140.00,0.00,1007.0
2025-11-24T23:00,29.1,32.4,0.10,68,24140.00,0.00,1008.0
2025-11-25T00:00,28.1,31.9,0.10,74,24140.00,0.00,1008.9
2025-11-25T01:00,27.5,31.4,0.10,77,24140.00,0.00,1009.6
2025-11-25T02:00,27.1,30.8,0.10,78,24140.00,0.00,1010.2
2025-11-25T03:00,26.7,30.4,0.10,79,24140.00,0.00,1010.5
2025-11-25T04:00,26.3,30.3,0.70,82,24140.00,0.00,1010.4
2025-11-25T05:00,25.9,30.2,0.70,85,24140.00,0.00,1010.1
2025-11-25T06:00,25.6,30.1,0.70,87,24140.00,0.00,1009.9
2025-11-25T07:00,25.3,29.7,0.20,89,24140.00,0.00,1009.8
2025-11-25T08:00,25.1,29.2,0.20,90,24140.00,0.00,1009.8
2025-11-25T09:00,25.0,28.8,0.20,90,24140.00,0.00,1010.0
2025-11-25T10:00,25.1,28.8,0.00,90,24140.00,0.00,1010.6
2025-11-25T11:00,25.4,28.7,0.00,88,24140.00,0.00,1011.4
2025-11-25T12:00,25.9,29.1,0.00,86,24140.00,0.00,1012.0
2025-11-25T13:00,26.9,29.8,0.10,81,24140.00,0.00,1012.2
2025-11-25T14:00,28.1,30.7,0.10,75,24140.00,0.00,1012.2
2025-11-25T15:00,29.2,31.6,0.10,70,24140.00,0.00,1011.8
2025-11-25T16:00,30.1,32.6,0.00,66,24140.00,0.00,1010.7
2025-11-25T17:00,30.8,33.5,0.00,62,24140.00,0.00,1009.2
2025-11-25T18:00,31.3,34.0,0.00,60,24140.00,0.00,1008.1
2025-11-25T19:00,31.7,34.0,0.00,58,24140.00,0.00,1007.6
2025-11-25T20:00,31.4,33.7,0.00,59,24140.00,0.00,1007.2
2025-11-25T21:00,30.8,33.3,0.00,61,24140.00,0.00,1007.1
2025-11-25T22:00,30.0,33.0,0.00,65,24140.00,0.00,1007.5
2025-11-25T23:00,29.0,32.6,0.00,71,24140.00,0.00,1008.2
2025-11-26T00:00,28.1,32.3,0.00,76,24140.00,0.00,1008.9
2025-11-26T01:00,27.6,32.4,0.00,80,24140.00,0.00,1009.6
2025-11-26T02:00,27.3,32.1,0.00,82,24140.00,0.00,1010.2
2025-11-26T03:00,27.0,31.7,0.00,84,24140.00,0.00,1010.6
2025-11-26T04:00,26.7,31.2,0.00,84,24140.00,0.00,1010.6
2025-11-26T05:00,26.4,30.6,0.00,83,24140.00,0.00,1010.3
2025-11-26T06:00,26.2,30.2,0.00,83,24140.00,0.00,1010.1
2025-11-26T07:00,25.9,29.7,0.00,84,24140.00,0.00,1010.0
2025-11-26T08:00,25.6,29.5,0.00,86,24140.00,0.00,1010.0
2025-11-26T09:00,25.5,29.2,0.00,87,24140.00,0.00,1010.2
2025-11-26T10:00,25.5,29.0,0.00,87,24140.00,0.00,1010.8
2025-11-26T11:00,25.7,29.0,0.00,86,24140.00,0.00,1011.6
2025-11-26T12:00,26.2,29.1,0.00,83,24140.00,0.00,1012.3
2025-11-26T13:00,27.0,29.6,0.00,78,19880.00,0.00,1012.8
2025-11-26T14:00,28.1,30.2,0.00,72,15600.00,0.00,1013.1
2025-11-26T15:00,29.1,30.9,0.00,66,11340.00,0.00,1012.9
2025-11-26T16:00,30.2,31.9,0.00,61,15600.00,0.00,1011.9
2025-11-26T17:00,31.2,33.4,0.00,58,19880.00,0.00,1010.3
2025-11-26T18:00,31.8,34.1,0.00,55,24140.00,0.00,1009.1
2025-11-26T19:00,32.0,33.9,0.00,54,24140.00,0.00,1008.4
2025-11-26T20:00,31.9,33.5,0.00,53,24140.00,0.00,1008.1
2025-11-26T21:00,31.5,33.3,0.00,55,24140.00,0.00,1008.0
2025-11-26T22:00,30.6,33.1,0.00,60,24140.00,0.00,1008.4
2025-11-26T23:00,29.4,32.7,0.00,67,24140.00,0.00,1009.1
2025-11-27T00:00,28.3,32.2,0.00,72,24140.00,0.00,1009.7
2025-11-27T01:00,27.6,31.6,0.00,74,24140.00,0.00,1010.3
2025-11-27T02:00,27.1,30.9,0.00,75,24140.00,0.00,1010.8
2025-11-27T03:00,26.7,30.3,0.00,77,24140.00,0.00,1011.1
2025-11-27T04:00,26.3,29.9,0.00,80,24140.00,0.00,1011.0
2025-11-27T05:00,25.9,29.8,0.00,83,24140.00,0.00,1010.7
2025-11-27T06:00,25.6,29.5,0.00,86,24140.00,0.00,1010.4
2025-11-27T07:00,25.3,29.0,0.00,87,24140.00,0.00,1010.3
2025-11-27T08:00,25.0,28.4,0.00,87,24140.00,0.00,1010.2
2025-11-27T09:00,24.9,28.0,0.00,87,24140.00,0.00,1010.4
2025-11-27T10:00,25.0,27.8,0.00,86,24140.00,0.00,1011.1
2025-11-27T11:00,25.3,27.8,0.00,84,24140.00,0.00,1012.0
2025-11-27T12:00,25.9,28.2,0.00,81,24140.00,0.00,1012.7
2025-11-27T13:00,27.2,29.1,0.00,75,24140.00,0.00,1012.9
2025-11-27T14:00,28.8,30.6,0.00,68,24140.00,0.00,1012.9
2025-11-27T15:00,30.3,31.9,0.00,61,24140.00,0.00,1012.5
2025-11-27T16:00,31.6,33.1,0.00,54,24140.00,0.00,1011.5
2025-11-27T17:00,32.7,33.9,0.00,48,24140.00,0.00,1010.1
2025-11-27T18:00,33.3,34.1,0.00,44,24140.00,0.00,1008.9
2025-11-27T19:00,33.4,33.8,0.00,43,24140.00,0.00,1008.1
2025-11-27T20:00,33.1,33.3,0.00,44,24140.00,0.00,1007.4
2025-11-27T21:00,32.5,33.1,0.00,47,24140.00,0.00,1007.2
2025-11-27T22:00,31.4,32.9,0.00,52,24140.00,0.00,1007.7
2025-11-27T23:00,30.0,32.6,0.00,59,24140.00,0.00,1008.5
