time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),relative_humidity_2m (%),visibility (m),rain (mm),pressure_msl (hPa)
2025-11-21T00:00,22.2,18.7,0.00,30,24140.00,0.00,1012.3
2025-11-21T01:00,19.7,17.0,0.00,37,24140.00,0.00,1013.4
2025-11-21T02:00,17.9,15.8,0.00,45,24140.00,0.00,1014.6
2025-11-21T03:00,16.5,14.7,0.00,52,24140.00,0.00,1015.8
2025-11-21T04:00,15.4,13.9,0.00,59,24140.00,0.00,1016.1
2025-11-21T05:00,14.3,13.1,0.00,65,24140.00,0.00,1016.4
2025-11-21T06:00,13.4,12.2,0.00,70,24140.00,0.00,1016.3
2025-11-21T07:00,12.5,11.4,0.00,76,24140.00,0.00,1016.5
2025-11-21T08:00,11.6,10.6,0.00,80,24140.00,0.00,1016.7
2025-11-21T09:00,10.8,9.9,0.00,85,24140.00,0.00,1016.8
2025-11-21T10:00,9.9,9.0,0.00,89,24140.00,0.00,1016.6
2025-11-21T11:00,9.2,8.1,0.00,91,24140.00,0.00,1017.0
2025-11-21T12:00,8.6,7.6,0.00,93,24140.00,0.00,1017.6
2025-11-21T13:00,8.1,6.8,0.00,94,24140.00,0.00,1018.8
2025-11-21T14:00,8.2,6.9,0.00,93,24140.00,0.00,1019.6
2025-11-21T15:00,13.0,12.1,0.00,71,24140.00,0.00,1020.4
2025-11-21T16:00,17.3,16.8,0.00,55,24140.00,0.00,1020.4
2025-11-21T17:00,20.6,20.2,0.00,41,24140.00,0.00,1018.7
2025-11-21T18:00,22.7,22.5,0.00,33,24140.00,0.00,1016.8
2025-11-21T19:00,24.2,23.9,0.00,30,24140.00,0.00,1014.9
2025-11-21T20:00,25.2,24.2,0.00,28,24140.00,0.00,1013.1
2025-11-21T21:00,25.7,23.2,0.00,25,24140.00,0.00,1012.1
2025-11-21T22:00,25.5,22.0,0.00,23,24140.00,0.00,1011.7
2025-11-21T23:00,24.8,21.2,0.00,23,24140.00,0.00,1012.0
2025-11-22T00:00,22.9,19.9,0.00,25,24140.00,0.00,1012.7
2025-11-22T01:00,20.2,17.6,0.00,31,24140.00,0.00,1013.3
2025-11-22T02:00,18.3,16.0,0.00,37,24140.00,0.00,1013.9
2025-11-22T03:00,16.5,14.4,0.00,43,24140.00,0.00,1014.4
2025-11-22T04:00,14.9,12.9,0.00,48,24140.00,0.00,1015.4
2025-11-22T05:00,13.9,11.8,0.00,53,24140.00,0.00,1016.5
2025-11-22T06:00,13.4,11.1,0.00,55,24140.00,0.00,1016.8
2025-11-22T07:00,14.0,12.7,0.00,61,24140.00,0.00,1016.8
2025-11-22T08:00,13.0,11.9,0.00,71,24140.00,0.00,1017.4
2025-11-22T09:00,12.0,11.0,0.00,83,24140.00,0.00,1017.8
2025-11-22T10:00,11.4,10.7,0.00,92,24140.00,0.00,1018.2
2025-11-22T11:00,11.4,10.9,0.00,97,18340.00,0.00,1018.7
2025-11-22T12:00,12.1,11.6,0.00,97,10180.00,0.00,1019.6
2025-11-22T13:00,12.6,12.1,0.00,96,11500.00,0.00,1020.4
2025-11-22T14:00,13.2,12.7,0.00,93,24140.00,0.00,1021.3
2025-11-22T15:00,15.0,13.7,0.00,81,24140.00,0.00,1021.8
2025-11-22T16:00,17.7,16.4,0.00,68,24140.00,0.00,1021.4
2025-11-22T17:00,20.5,19.3,0.00,54,24140.00,0.00,1020.1
2025-11-22T18:00,23.0,22.1,0.00,44,24140.00,0.00,1018.4
2025-11-22T19:00,24.7,23.5,0.00,36,24140.00,0.00,1016.4
2025-11-22T20:00,25.6,24.0,0.00,32,24140.00,0.00,1014.7
2025-11-22T21:00,25.9,23.4,0.00,29,24140.00,0.00,1013.8
2025-11-22T22:00,25.6,22.7,0.00,28,24140.00,0.00,1013.3
2025-11-22T23:00,25.0,22.1,0.00,27,24140.00,0.00,1013.5
2025-11-23T00:00,23.5,20.6,0.00,33,24140.00,0.00,1014.2
